Contradiction | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=czpweFYym9g
Essential, Advance, Longevity, Modify | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=u_blo7BVIyA
Critical, Conversely, Approximately, Moreover | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=So9WrfvqxtI
Demonstrate, Hypothesis, Accurate | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=2x54En6Jwx0
Reinforce, Maximum, Foundation | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=W-s1ZDl6370
Currently, Thus, Despite | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Sp9LyPadTsA
Submerge, Profound | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=JS8kgsWYNtM
Accumulate, Vast, Consist | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=zNID36RcXeQ
Simulation, recreation, leisure | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=ovgm4Ua6LAU
Express, Immersive | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=dEQGA9r-n9g
Adapt, Collaborate, Criticize | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=iM5WNGNuuFk
Objective | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=iUoFZVR3a84
Experience, Evaluate, Ingenious | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=f4w5CdkjI2o
Stereotype, Obstacle | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=RThkrywiKzk
Benefit, Philosophy | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=UF2nl3Pyv6M
Dynamic, Durable | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Watrc31j0VE
Elaborate, Necessity | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=c-lWG_cXXBk
Symbol, Persuade, Signify | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=9zA-8t1UzIo
Conceal, Convey, Correspond | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=RhzO9nWoZX4
Vague, Interpret | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Ua-KEmwcYqM
Relevant, Skeptical, Suspend | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=8n7_YCKcFG4
Inexplicable, Interrogate | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=kry12loqD80
Conscious, Evade | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=V0LYEGIMKh8
Prominent, Contrast | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=g-tlfHs9h3I
Exploration, Identify, Expand | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=Qc0lo0EsoRI
Recently, Voyage | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=w4Ri4YZaaYA
Orbit, Solar, Immense | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=cTdqb7EtpFs
Realistic, Conflict, Concept | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=mcXsvm5DzCk
Influence, Culture | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=GUt0T9NPJSw
Traditional, Oral, Narrator | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=cpzHVVXRYaE
Survive, Endure, Extreme | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=FNRm-GzVYD4
Strategy, Unfamiliar | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=J-uQVuaoadM
Competition, Overcome, Achieve | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=caanSZcIKxc
Diverse, Similar | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=lM5gxHNzCrU
Habitat, Species, Environment | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=74wCyXD8APM
Examine, Resource, Pollution | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=vu4re7HRK1M
Engineer, Device | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=anJfLldaR3w
Experiment, Inventor, Discovery | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=UXB3y4iSHa4
Research, Solution, Recognize | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=EK0LqZ1SK_g
Courageous, Description, Mythology | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=_IeWU0EsgBs
Admire, Inspire | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=wX8TtvPELT4
Ability, Heroic, Villain | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=AUkhx5IJOog
Archaeology | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=fS3TOHnUwdw
Contemporary  | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=pq36jdgmuzw
Authentic | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=hVlFzfHc3t0
Deception | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=N8P_IjvzGPY
Sanctuary | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=rAMj-OS4pyU
Maintain | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=l08RIfdpvGE
Significant | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=ghbhPSZuwpU
Resource | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=eZWa6IbYs-Y
Contaminate | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=eJ7ZMCMcLTs
Innovative | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=_WlrO8qMoiM
Conserve | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=ZDtupghh0NY
Develop | Vocabulary | Khan Academy~https://www.youtube.com/watch?v=VYUIzMAx24k
